Virus,Continent,Country,State,Status,First Recorded In,Latitude,Longitude
Apple chat fruit agent  (APCF00),Europe,Denmark,,"Present, restricted distribution",Not available,55.670249,10.3333283
Apple chat fruit agent  (APCF00),Europe,Germany,,"Present, restricted distribution",Not available,51.1638175,10.4478313
Apple chat fruit agent  (APCF00),Europe,Ireland,,"Present, restricted distribution",Not available,52.865196,-7.9794599
Apple chat fruit agent  (APCF00),Europe,Netherlands,,"Present, restricted distribution",Not available,52.2434979,5.6343227
Apple chat fruit agent  (APCF00),Europe,Sweden,,"Present, restricted distribution",Not available,59.6749712,14.5208584
Apple chat fruit agent  (APCF00),Europe,United Kingdom,,"Present, restricted distribution",Not available,54.7023545,-3.2765753
Apple chat fruit agent  (APCF00),Europe,United Kingdom,England,"Present, no details",Not available,52.5310214,-1.2649062
Apple chat fruit agent  (APCF00),Europe,United Kingdom,Scotland,"Present, no details",Not available,56.7861112,-4.1140518
Apple fruit crinkle viroid  (AFCVD0),America,United States of America,,"Present, few occurrences",Not available,39.7837304,-100.445882
Apple fruit crinkle viroid  (AFCVD0),America,United States of America,Florida,"Present, no details",Not available,27.7567667,-81.4639835
Apple fruit crinkle viroid  (AFCVD0),America,United States of America,Georgia,"Present, few occurrences",Not available,32.3293809,-83.1137366
Apple fruit crinkle viroid  (AFCVD0),Asia,China,,"Absent, unreliable record",Not available,35.000074,104.999927
Apple fruit crinkle viroid  (AFCVD0),Asia,China,Xinjiang,"Absent, unreliable record",Not available,42.4804953,85.4633464
Apple fruit crinkle viroid  (AFCVD0),Asia,Japan,,"Present, restricted distribution",1976,36.5748441,139.2394179
Apple fruit crinkle viroid  (AFCVD0),Asia,Japan,Honshu,"Present, restricted distribution",1976,37.4899229,139.8356509
Apple fruit crinkle viroid  (AFCVD0),Europe,Netherlands,,"Absent, no pest record",Not available,52.2434979,5.6343227
Ampelovirus nanoavii  (LCHV20),America,Canada,,"Present, restricted distribution",Not available,61.0666922,-107.991707
Ampelovirus nanoavii  (LCHV20),America,Canada,British Columbia,"Present, restricted distribution",Not available,55.001251,-125.002441
Ampelovirus nanoavii  (LCHV20),America,United States of America,,"Present, restricted distribution",Not available,39.7837304,-100.445882
Ampelovirus nanoavii  (LCHV20),America,United States of America,Oregon,"Present, no details",Not available,43.9792797,-120.737257
Ampelovirus nanoavii  (LCHV20),America,United States of America,Washington,"Present, restricted distribution",Not available,38.8950368,-77.0365427
Ampelovirus nanoavii  (LCHV20),Asia,China,,"Present, restricted distribution",2008,35.000074,104.999927
Ampelovirus nanoavii  (LCHV20),Asia,China,Shandong,"Present, no details",Not available,36.398987,118.5055691
Ampelovirus nanoavii  (LCHV20),Asia,China,Yunnan,"Present, restricted distribution",Not available,25.0,102.0
Ampelovirus nanoavii  (LCHV20),Asia,Japan,,"Present, no details",Not available,36.5748441,139.2394179
Ampelovirus nanoavii  (LCHV20),Asia,Japan,Honshu,"Present, no details",Not available,37.4899229,139.8356509
Ampelovirus nanoavii  (LCHV20),Asia,"Korea, Republic of",,"Present, restricted distribution",2015,1.3056478,103.9042986
Ampelovirus nanoavii  (LCHV20),Europe,Belgium,,"Present, restricted distribution",Not available,50.6402809,4.6667145
Ampelovirus nanoavii  (LCHV20),Europe,Croatia,,"Present, few occurrences",2014,45.3658443,15.6575209
Ampelovirus nanoavii  (LCHV20),Europe,Czechia,,"Present, no details",Not available,49.7439047,15.3381061
Ampelovirus nanoavii  (LCHV20),Europe,Germany,,"Present, no details",Not available,51.1638175,10.4478313
Ampelovirus nanoavii  (LCHV20),Europe,Poland,,"Present, few occurrences",Not available,52.215933,19.134422
Ampelovirus nanoavii  (LCHV20),Europe,Serbia,,"Present, restricted distribution",2020,44.0243229,21.0765743
Ampelovirus nanoavii  (LCHV20),Europe,United Kingdom,,"Present, no details",Not available,54.7023545,-3.2765753
Ampelovirus nanoavii  (LCHV20),Oceania,Australia,,"Present, few occurrences",Not available,-24.7761086,134.755
Ampelovirus nanoavii  (LCHV20),Oceania,Australia,Tasmania,"Present, few occurrences",2014,-42.035067,146.6366887
Ampelovirus nanoavii  (LCHV20),Oceania,Australia,Victoria,"Present, few occurrences",Not available,-36.5986096,144.6780052
Ampelovirus nanoavii  (LCHV20),Oceania,New Zealand,,"Present, no details",Not available,-41.5000831,172.8344077
Avsunviroid albamaculaperseae  (ASBVD0),Africa,Ghana,,"Present, few occurrences",Not available,8.0300284,-1.0800271
Avsunviroid albamaculaperseae  (ASBVD0),Africa,Kenya,,"Present, restricted distribution",Not available,1.4419683,38.4313975
Avsunviroid albamaculaperseae  (ASBVD0),Africa,South Africa,,"Present, widespread",Not available,-28.8166236,24.991639
Avsunviroid albamaculaperseae  (ASBVD0),America,Costa Rica,,"Absent, unreliable record",Not available,10.2735633,-84.0739102
Avsunviroid albamaculaperseae  (ASBVD0),America,Guatemala,,"Present, no details",Not available,15.5855545,-90.345759
Avsunviroid albamaculaperseae  (ASBVD0),America,Mexico,,"Present, restricted distribution",2006,23.6585116,-102.0077097
Avsunviroid albamaculaperseae  (ASBVD0),America,Peru,,"Present, restricted distribution",Not available,-6.8699697,-75.0458515
Avsunviroid albamaculaperseae  (ASBVD0),America,United States of America,,"Present, restricted distribution",Not available,39.7837304,-100.445882
Avsunviroid albamaculaperseae  (ASBVD0),America,United States of America,California,"Present, no details",Not available,36.7014631,-118.755997
Avsunviroid albamaculaperseae  (ASBVD0),America,United States of America,Florida,"Present, no details",Not available,27.7567667,-81.4639835
Avsunviroid albamaculaperseae  (ASBVD0),America,Venezuela,,"Present, no details",Not available,8.0018709,-66.1109318
Avsunviroid albamaculaperseae  (ASBVD0),Asia,Israel,,"Present, restricted distribution",Not available,30.8124247,34.8594762
Avsunviroid albamaculaperseae  (ASBVD0),Europe,Greece,,"Present, few occurrences",2016,38.9953683,21.9877132
Avsunviroid albamaculaperseae  (ASBVD0),Europe,Greece,Kriti,"Present, few occurrences",2016,35.5307519,23.8089529
Avsunviroid albamaculaperseae  (ASBVD0),Europe,Spain,,"Present, no details",Not available,39.3260685,-4.8379791
Avsunviroid albamaculaperseae  (ASBVD0),Oceania,Australia,,"Present, few occurrences",Not available,-24.7761086,134.755
Avsunviroid albamaculaperseae  (ASBVD0),Oceania,Australia,Queensland,"Present, few occurrences",Not available,-22.1646782,144.5844903
Alphanucleorhabdovirus tuberosum  (PYDV00),America,Canada,,"Absent, unreliable record",Not available,61.0666922,-107.991707
Alphanucleorhabdovirus tuberosum  (PYDV00),America,Canada,Alberta,"Absent, unreliable record",Not available,55.001251,-115.002136
Alphanucleorhabdovirus tuberosum  (PYDV00),America,Canada,British Columbia,"Absent, unreliable record",Not available,55.001251,-125.002441
Alphanucleorhabdovirus tuberosum  (PYDV00),America,Canada,New Brunswick,"Absent, unreliable record",Not available,46.500283,-66.750183
Alphanucleorhabdovirus tuberosum  (PYDV00),America,Canada,Ontario,"Absent, unreliable record",Not available,50.000678,-86.000977
Alphanucleorhabdovirus tuberosum  (PYDV00),America,Canada,Québec,"Absent, unreliable record",Not available,52.4760892,-71.8258668
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,,"Present, restricted distribution",Not available,39.7837304,-100.445882
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,California,"Present, no details",Not available,36.7014631,-118.755997
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,Florida,"Absent, unreliable record",Not available,27.7567667,-81.4639835
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,Indiana,"Absent, unreliable record",Not available,40.3270127,-86.1746933
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,Maine,"Absent, unreliable record",Not available,45.709097,-68.8590201
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,Maryland,"Present, no details",Not available,39.5162401,-76.9382069
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,Massachusetts,"Absent, unreliable record",Not available,42.3788774,-72.032366
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,Michigan,"Absent, unreliable record",Not available,43.6211955,-84.6824346
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,Minnesota,"Present, no details",Not available,45.9896587,-94.6113288
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,Montana,"Absent, unreliable record",Not available,47.3752671,-109.638757
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,Nebraska,"Absent, unreliable record",Not available,41.7370229,-99.5873816
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,New Hampshire,"Absent, unreliable record",Not available,43.4849133,-71.6553992
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,New Jersey,"Absent, unreliable record",Not available,40.0757384,-74.4041622
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,New York,"Absent, unreliable record",Not available,40.7127281,-74.0060152
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,Ohio,"Absent, unreliable record",Not available,40.2253569,-82.6881395
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,Oklahoma,"Present, no details",2023,34.9550817,-97.2684063
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,Pennsylvania,"Absent, unreliable record",Not available,40.9699889,-77.7278831
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,South Dakota,"Absent, unreliable record",Not available,44.6471761,-100.348761
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,Texas,"Present, no details",Not available,31.2638905,-98.5456116
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,Vermont,"Absent, unreliable record",Not available,44.5990718,-72.5002608
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,Virginia,"Absent, unreliable record",Not available,37.1232245,-78.4927721
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,Wisconsin,"Present, no details",Not available,44.4308975,-89.6884637
Alphanucleorhabdovirus tuberosum  (PYDV00),America,United States of America,Wyoming,"Absent, unreliable record",Not available,43.1700264,-107.568534
Alphanucleorhabdovirus tuberosum  (PYDV00),Asia,Saudi Arabia,,"Absent, unreliable record",Not available,25.6242618,42.3528328
Alphanucleorhabdovirus tuberosum  (PYDV00),Europe,Netherlands,,"Absent, no pest record",Not available,52.2434979,5.6343227
Badnavirus venavitis  (GVCV00),America,Brazil,,"Present, few occurrences",2017,-10.3333333,-53.2
Badnavirus venavitis  (GVCV00),America,Brazil,Rio Grande do Sul,"Present, few occurrences",Not available,-29.8425284,-53.7680577
Badnavirus venavitis  (GVCV00),America,United States of America,,"Present, restricted distribution",Not available,39.7837304,-100.445882
Badnavirus venavitis  (GVCV00),America,United States of America,Arkansas,"Present, no details",Not available,35.2048883,-92.4479108
Badnavirus venavitis  (GVCV00),America,United States of America,Illinois,"Present, no details",Not available,40.0796606,-89.4337288
Badnavirus venavitis  (GVCV00),America,United States of America,Indiana,"Present, no details",Not available,40.3270127,-86.1746933
Badnavirus venavitis  (GVCV00),America,United States of America,Missouri,"Present, no details",Not available,38.7604815,-92.5617875
Badnavirus venavitis  (GVCV00),America,United States of America,Oklahoma,"Present, no details",Not available,34.9550817,-97.2684063
Badnavirus venavitis  (GVCV00),Europe,Netherlands,,"Absent, no pest record",Not available,52.2434979,5.6343227
Beet leaf curl virus  (BLCV00),Europe,Austria,,"Absent, no pest record",Not available,47.59397,14.12456
Beet leaf curl virus  (BLCV00),Europe,Belgium,,"Absent, no pest record",Not available,50.6402809,4.6667145
Beet leaf curl virus  (BLCV00),Europe,Czechia,,"Absent, pest eradicated",1959,49.7439047,15.3381061
Beet leaf curl virus  (BLCV00),Europe,Germany,,"Present, few occurrences",Not available,51.1638175,10.4478313
Beet leaf curl virus  (BLCV00),Europe,Netherlands,,"Absent, no pest record",Not available,52.2434979,5.6343227
Beet leaf curl virus  (BLCV00),Europe,Poland,,"Absent, pest no longer present",Not available,52.215933,19.134422
Beet leaf curl virus  (BLCV00),Europe,Portugal,,"Absent, confirmed by survey",Not available,39.6621648,-8.1353519
Beet leaf curl virus  (BLCV00),Europe,Russian Federation,,"Absent, invalid record",Not available,64.6863136,97.7453061
Beet leaf curl virus  (BLCV00),Europe,Slovakia,,"Absent, pest eradicated",Not available,48.7411522,19.4528646
Beet leaf curl virus  (BLCV00),Europe,Slovenia,,"Absent, no pest record",Not available,46.1199444,14.8153333
Beet leaf curl virus  (BLCV00),Europe,Türkiye,,"Present, few occurrences",Not available,39.294076,35.2316631
Beet leaf curl virus  (BLCV00),Europe,United Kingdom,,"Absent, no pest record",Not available,54.7023545,-3.2765753
Apple rubbery wood agent  (ARW000),Africa,South Africa,,"Present, no details",Not available,-28.8166236,24.991639
Apple rubbery wood agent  (ARW000),America,Canada,,"Present, restricted distribution",Not available,61.0666922,-107.991707
Apple rubbery wood agent  (ARW000),America,Canada,British Columbia,"Present, no details",Not available,55.001251,-125.002441
Apple rubbery wood agent  (ARW000),America,United States of America,,"Present, restricted distribution",Not available,39.7837304,-100.445882
Apple rubbery wood agent  (ARW000),America,United States of America,California,"Present, widespread",Not available,36.7014631,-118.755997
Apple rubbery wood agent  (ARW000),America,United States of America,Michigan,"Present, no details",Not available,43.6211955,-84.6824346
Apple rubbery wood agent  (ARW000),America,United States of America,Missouri,"Present, no details",Not available,38.7604815,-92.5617875
Apple rubbery wood agent  (ARW000),America,United States of America,New York,"Present, no details",Not available,40.7127281,-74.0060152
Apple rubbery wood agent  (ARW000),America,United States of America,Washington,"Present, no details",Not available,38.8950368,-77.0365427
Apple rubbery wood agent  (ARW000),Asia,China,,"Present, restricted distribution",Not available,35.000074,104.999927
Apple rubbery wood agent  (ARW000),Asia,China,Fujian,"Present, no details",Not available,26.193218,118.2208721
Apple rubbery wood agent  (ARW000),Asia,China,Hebei,"Present, no details",2021,39.0000001,116.0
Apple rubbery wood agent  (ARW000),Asia,China,Hubei,"Present, no details",Not available,39.0000001,116.0
Apple rubbery wood agent  (ARW000),Asia,China,Jiangxi,"Present, no details",Not available,28.0,116.0
Apple rubbery wood agent  (ARW000),Asia,China,Liaoning,"Present, widespread",2019,41.2374106,122.9955469
Apple rubbery wood agent  (ARW000),Asia,China,Shandong,"Present, no details",Not available,36.398987,118.5055691
Apple rubbery wood agent  (ARW000),Asia,China,Shanxi,"Present, widespread",2019,37.0,112.0
Apple rubbery wood agent  (ARW000),Asia,India,,"Present, restricted distribution",Not available,22.3511148,78.6677428
Apple rubbery wood agent  (ARW000),Asia,India,Himachal Pradesh,"Present, no details",Not available,31.9292352,77.1828462
Apple rubbery wood agent  (ARW000),Asia,India,Jammu & Kashmir,"Present, no details",Not available,33.6649297,75.1629584
Apple rubbery wood agent  (ARW000),Asia,India,Uttar Pradesh,"Present, no details",Not available,27.1303344,80.859666
Apple rubbery wood agent  (ARW000),Europe,Austria,,"Present, restricted distribution",Not available,47.59397,14.12456
Apple rubbery wood agent  (ARW000),Europe,Denmark,,"Present, no details",Not available,55.670249,10.3333283
Apple rubbery wood agent  (ARW000),Europe,Germany,,"Present, restricted distribution",Not available,51.1638175,10.4478313
Apple rubbery wood agent  (ARW000),Europe,Italy,,"Present, widespread",Not available,42.6384261,12.674297
Apple rubbery wood agent  (ARW000),Europe,Netherlands,,"Present, few occurrences",Not available,52.2434979,5.6343227
Apple rubbery wood agent  (ARW000),Europe,Norway,,"Present, widespread",Not available,61.1529386,8.7876653
Apple rubbery wood agent  (ARW000),Europe,Poland,,"Present, no details",Not available,52.215933,19.134422
Apple rubbery wood agent  (ARW000),Europe,Serbia,,"Present, no details",Not available,44.0243229,21.0765743
Apple rubbery wood agent  (ARW000),Europe,Sweden,,"Present, restricted distribution",Not available,59.6749712,14.5208584
Apple rubbery wood agent  (ARW000),Europe,Switzerland,,"Present, restricted distribution",Not available,46.7985624,8.2319736
Apple rubbery wood agent  (ARW000),Europe,United Kingdom,,"Present, restricted distribution",Not available,54.7023545,-3.2765753
Apple rubbery wood agent  (ARW000),Oceania,Australia,,"Present, restricted distribution",Not available,-24.7761086,134.755
Apple rubbery wood agent  (ARW000),Oceania,Australia,Queensland,"Present, no details",Not available,-22.1646782,144.5844903
Apple rubbery wood agent  (ARW000),Oceania,Australia,South Australia,"Present, no details",Not available,-30.5343665,135.6301212
Apple rubbery wood agent  (ARW000),Oceania,Australia,Tasmania,"Present, no details",Not available,-42.035067,146.6366887
Apple rubbery wood agent  (ARW000),Oceania,New Zealand,,"Present, no details",Not available,-41.5000831,172.8344077
Begomovirus abelmoschusflavi  (BYVMV0),Asia,Bangladesh,,"Present, no details",Not available,24.4769288,90.2934413
Begomovirus abelmoschusflavi  (BYVMV0),Asia,China,,"Absent, unreliable record",Not available,35.000074,104.999927
Begomovirus abelmoschusflavi  (BYVMV0),Asia,India,,"Present, no details",Not available,22.3511148,78.6677428
Begomovirus abelmoschusflavi  (BYVMV0),Asia,India,Haryana,"Present, no details",Not available,29.0,76.0
Begomovirus abelmoschusflavi  (BYVMV0),Asia,India,Himachal Pradesh,"Present, no details",Not available,31.9292352,77.1828462
Begomovirus abelmoschusflavi  (BYVMV0),Asia,India,Jammu & Kashmir,"Present, no details",Not available,33.6649297,75.1629584
Begomovirus abelmoschusflavi  (BYVMV0),Asia,India,Tamil Nadu,"Present, no details",Not available,11.3323723,78.6098639
Begomovirus abelmoschusflavi  (BYVMV0),Asia,India,Uttar Pradesh,"Present, no details",Not available,27.1303344,80.859666
Begomovirus abelmoschusflavi  (BYVMV0),Asia,India,West Bengal,"Present, no details",Not available,22.9964948,87.6855882
Begomovirus abelmoschusflavi  (BYVMV0),Asia,Pakistan,,"Present, no details",Not available,30.3308401,71.247499
Begomovirus abelmoschusflavi  (BYVMV0),Asia,Sri Lanka,,"Present, no details",Not available,7.5554942,80.7137847
Begomovirus abelmoschusflavi  (BYVMV0),Asia,Thailand,,"Present, no details",Not available,14.8971921,100.83273
Alphacytorhabdovirus fragariarugosus  (SCRV00),Africa,South Africa,,"Present, few occurrences",Not available,-28.8166236,24.991639
Alphacytorhabdovirus fragariarugosus  (SCRV00),America,Argentina,,"Present, few occurrences",2010,-34.9964963,-64.9672817
Alphacytorhabdovirus fragariarugosus  (SCRV00),America,Brazil,,"Present, restricted distribution",Not available,-10.3333333,-53.2
Alphacytorhabdovirus fragariarugosus  (SCRV00),America,Brazil,Minas Gerais,"Present, no details",Not available,-18.5264844,-44.1588654
Alphacytorhabdovirus fragariarugosus  (SCRV00),America,Brazil,Rio Grande do Sul,"Present, no details",Not available,-29.8425284,-53.7680577
Alphacytorhabdovirus fragariarugosus  (SCRV00),America,Brazil,Sao Paulo,"Present, no details",Not available,-23.5506507,-46.6333824
Alphacytorhabdovirus fragariarugosus  (SCRV00),America,Canada,,"Present, restricted distribution",Not available,61.0666922,-107.991707
Alphacytorhabdovirus fragariarugosus  (SCRV00),America,Canada,British Columbia,"Present, no details",Not available,55.001251,-125.002441
Alphacytorhabdovirus fragariarugosus  (SCRV00),America,Canada,Québec,"Present, no details",Not available,52.4760892,-71.8258668
Alphacytorhabdovirus fragariarugosus  (SCRV00),America,Chile,,"Present, no details",Not available,-31.7613365,-71.3187697
Alphacytorhabdovirus fragariarugosus  (SCRV00),America,Mexico,,"Absent, invalid record",Not available,23.6585116,-102.0077097
Alphacytorhabdovirus fragariarugosus  (SCRV00),America,United States of America,,"Present, restricted distribution",Not available,39.7837304,-100.445882
Alphacytorhabdovirus fragariarugosus  (SCRV00),America,United States of America,California,"Present, no details",Not available,36.7014631,-118.755997
Alphacytorhabdovirus fragariarugosus  (SCRV00),America,United States of America,Indiana,"Present, no details",Not available,40.3270127,-86.1746933
Alphacytorhabdovirus fragariarugosus  (SCRV00),America,United States of America,Maine,"Present, no details",Not available,45.709097,-68.8590201
Alphacytorhabdovirus fragariarugosus  (SCRV00),America,United States of America,Maryland,"Present, no details",Not available,39.5162401,-76.9382069
Alphacytorhabdovirus fragariarugosus  (SCRV00),America,United States of America,Massachusetts,"Present, no details",Not available,42.3788774,-72.032366
Alphacytorhabdovirus fragariarugosus  (SCRV00),America,United States of America,Oregon,"Present, no details",Not available,43.9792797,-120.737257
Alphacytorhabdovirus fragariarugosus  (SCRV00),America,United States of America,Pennsylvania,"Present, no details",Not available,40.9699889,-77.7278831
Alphacytorhabdovirus fragariarugosus  (SCRV00),America,United States of America,Washington,"Present, no details",Not available,38.8950368,-77.0365427
Alphacytorhabdovirus fragariarugosus  (SCRV00),Asia,China,,"Present, widespread",Not available,35.000074,104.999927
Alphacytorhabdovirus fragariarugosus  (SCRV00),Asia,China,Hebei,"Present, no details",Not available,39.0000001,116.0
Alphacytorhabdovirus fragariarugosus  (SCRV00),Asia,China,Heilongjiang,"Present, no details",Not available,48.0000047,127.999992
Alphacytorhabdovirus fragariarugosus  (SCRV00),Asia,China,Hubei,"Present, no details",Not available,39.0000001,116.0
Alphacytorhabdovirus fragariarugosus  (SCRV00),Asia,China,Jiangxi,"Present, no details",Not available,28.0,116.0
Alphacytorhabdovirus fragariarugosus  (SCRV00),Asia,China,Jilin,"Present, no details",Not available,43.7289674,126.1997366
Alphacytorhabdovirus fragariarugosus  (SCRV00),Asia,China,Liaoning,"Present, no details",Not available,41.2374106,122.9955469
Alphacytorhabdovirus fragariarugosus  (SCRV00),Asia,China,Shandong,"Present, no details",Not available,36.398987,118.5055691
Alphacytorhabdovirus fragariarugosus  (SCRV00),Asia,China,Shanxi,"Present, no details",Not available,37.0,112.0
Alphacytorhabdovirus fragariarugosus  (SCRV00),Asia,China,Zhejiang,"Present, no details",Not available,29.0000001,119.9999999
Alphacytorhabdovirus fragariarugosus  (SCRV00),Asia,Israel,,"Absent, invalid record",Not available,30.8124247,34.8594762
Alphacytorhabdovirus fragariarugosus  (SCRV00),Asia,Japan,,"Present, widespread",Not available,36.5748441,139.2394179
Alphacytorhabdovirus fragariarugosus  (SCRV00),Asia,Japan,Honshu,"Present, widespread",Not available,37.4899229,139.8356509
Alphacytorhabdovirus fragariarugosus  (SCRV00),Asia,Kazakhstan,,"Present, no details",Not available,48.1012954,66.7780818
Alphacytorhabdovirus fragariarugosus  (SCRV00),Asia,"Korea, Republic of",,"Present, no details",Not available,1.3056478,103.9042986
Alphacytorhabdovirus fragariarugosus  (SCRV00),Europe,Austria,,"Absent, no pest record",Not available,47.59397,14.12456
Alphacytorhabdovirus fragariarugosus  (SCRV00),Europe,Belgium,,"Present, restricted distribution",Not available,50.6402809,4.6667145
Alphacytorhabdovirus fragariarugosus  (SCRV00),Europe,Bulgaria,,"Present, widespread",Not available,42.6073975,25.4856617
Alphacytorhabdovirus fragariarugosus  (SCRV00),Europe,Czechia,,"Present, few occurrences",Not available,49.7439047,15.3381061
Alphacytorhabdovirus fragariarugosus  (SCRV00),Europe,France,,"Present, no details",Not available,46.603354,1.8883335
Alphacytorhabdovirus fragariarugosus  (SCRV00),Europe,Germany,,"Present, restricted distribution",Not available,51.1638175,10.4478313
Alphacytorhabdovirus fragariarugosus  (SCRV00),Europe,Italy,,"Present, widespread",Not available,42.6384261,12.674297
Alphacytorhabdovirus fragariarugosus  (SCRV00),Europe,"Moldova, Republic of",,"Present, no details",Not available,46.6745434,29.7521996
Alphacytorhabdovirus fragariarugosus  (SCRV00),Europe,Netherlands,,"Present, no details",Not available,52.2434979,5.6343227
Alphacytorhabdovirus fragariarugosus  (SCRV00),Europe,Poland,,"Present, few occurrences",Not available,52.215933,19.134422
Alphacytorhabdovirus fragariarugosus  (SCRV00),Europe,Serbia,,"Absent, no pest record",Not available,44.0243229,21.0765743
Alphacytorhabdovirus fragariarugosus  (SCRV00),Europe,Slovakia,,"Present, no details",Not available,48.7411522,19.4528646
Alphacytorhabdovirus fragariarugosus  (SCRV00),Europe,Slovenia,,"Absent, no pest record",Not available,46.1199444,14.8153333
Alphacytorhabdovirus fragariarugosus  (SCRV00),Europe,United Kingdom,,"Present, widespread",Not available,54.7023545,-3.2765753
Alphacytorhabdovirus fragariarugosus  (SCRV00),Europe,United Kingdom,England,"Present, widespread",Not available,52.5310214,-1.2649062
Alphacytorhabdovirus fragariarugosus  (SCRV00),Europe,United Kingdom,Scotland,"Present, widespread",Not available,56.7861112,-4.1140518
Alphacytorhabdovirus fragariarugosus  (SCRV00),Oceania,Australia,,"Present, restricted distribution",Not available,-24.7761086,134.755
Alphacytorhabdovirus fragariarugosus  (SCRV00),Oceania,Australia,New South Wales,"Present, no details",Not available,-31.8759835,147.2869493
Alphacytorhabdovirus fragariarugosus  (SCRV00),Oceania,Australia,Queensland,"Present, no details",Not available,-22.1646782,144.5844903
Alphacytorhabdovirus fragariarugosus  (SCRV00),Oceania,Australia,Tasmania,"Present, no details",Not available,-42.035067,146.6366887
Alphacytorhabdovirus fragariarugosus  (SCRV00),Oceania,Australia,Victoria,"Present, no details",Not available,-36.5986096,144.6780052
Alphacytorhabdovirus fragariarugosus  (SCRV00),Oceania,Fiji,,"Present, no details",Not available,-18.1239696,179.0122737
Alphacytorhabdovirus fragariarugosus  (SCRV00),Oceania,New Zealand,,"Present, few occurrences",Not available,-41.5000831,172.8344077
Begomovirus chillicapsici  (CHILCU),Asia,Bangladesh,,"Present, no details",Not available,24.4769288,90.2934413
Begomovirus chillicapsici  (CHILCU),Asia,India,,"Present, no details",Not available,22.3511148,78.6677428
Begomovirus chillicapsici  (CHILCU),Asia,India,Andaman and Nicobar Islands,"Present, no details",Not available,12.6112387,92.8316541
Begomovirus chillicapsici  (CHILCU),Asia,India,Andhra Pradesh,"Present, no details",Not available,15.9240905,80.1863809
Begomovirus chillicapsici  (CHILCU),Asia,India,Bihar,"Present, no details",Not available,25.6440845,85.906508
Begomovirus chillicapsici  (CHILCU),Asia,India,Delhi,"Present, no details",Not available,28.6138954,77.2090057
Begomovirus chillicapsici  (CHILCU),Asia,India,Gujarat,"Present, no details",Not available,22.3850051,71.745261
Begomovirus chillicapsici  (CHILCU),Asia,India,Karnataka,"Present, no details",Not available,14.9562045,75.7896741
Begomovirus chillicapsici  (CHILCU),Asia,India,Madhya Pradesh,"Present, no details",Not available,23.8143419,77.5340719
Begomovirus chillicapsici  (CHILCU),Asia,India,Maharashtra,"Present, no details",Not available,19.5670323,76.4164557
Begomovirus chillicapsici  (CHILCU),Asia,India,Punjab,"Present, no details",Not available,30.9293211,75.5004841
Begomovirus chillicapsici  (CHILCU),Asia,India,Rajasthan,"Present, no details",Not available,26.8105777,73.7684549
Begomovirus chillicapsici  (CHILCU),Asia,India,Uttar Pradesh,"Present, no details",Not available,27.1303344,80.859666
Begomovirus chillicapsici  (CHILCU),Asia,"Iran, Islamic Republic of",,"Present, no details",Not available,36.2665119,59.5999861
Begomovirus chillicapsici  (CHILCU),Asia,Oman,,"Present, no details",Not available,21.0000287,57.0036901
Begomovirus chillicapsici  (CHILCU),Asia,Pakistan,,"Present, no details",Not available,30.3308401,71.247499
Begomovirus chillicapsici  (CHILCU),Asia,Sri Lanka,,"Absent, no pest record",Not available,7.5554942,80.7137847
Begomovirus costai  (BGMV00),America,Argentina,,"Present, restricted distribution",Not available,-34.9964963,-64.9672817
Begomovirus costai  (BGMV00),America,Bolivia,,"Present, no details",Not available,-17.0568696,-64.9912286
Begomovirus costai  (BGMV00),America,Brazil,,"Present, widespread",Not available,-10.3333333,-53.2
Begomovirus costai  (BGMV00),America,Brazil,Bahia,"Present, no details",Not available,-12.285251,-41.9294776
Begomovirus costai  (BGMV00),America,Brazil,Goias,"Present, no details",Not available,-15.9323662,-50.1392928
Begomovirus costai  (BGMV00),America,Brazil,Mato Grosso,"Present, no details",Not available,-12.2115009,-55.5716547
Begomovirus costai  (BGMV00),America,Brazil,Mato Grosso do Sul,"Present, no details",Not available,-19.5852564,-54.4794731
Begomovirus costai  (BGMV00),America,Brazil,Minas Gerais,"Present, no details",Not available,-18.5264844,-44.1588654
